no,name,brand,category,img,emoji,has_settings,inputs,outputs,func,ports_raw
567,Alvin's Cables D-Tap to 4-Pin Hirose,Alvin's,Kabel Konverter Daya Pemasok Lensa,,🔧,0,D-Tap Power In|LAN; 4-Pin Hirose Konektor Lensa|Other,,Selang infus listrik penghisap daya baterai besar mentenagai mesin motor servo lensa zoom TV raksasa yang tidak memiliki baterainya sendiri,"D-Tap Power In, 4-Pin Hirose Konektor Lensa"
568,Decimator MD-LX,Decimator,Kotak Pembersih Gangguan Gambar Listrik,,🔧,0,HDMI In Out|HDMI; SDI In Out Dua Arah Pasif|SDI,,Mesin pengubah HDMI ke SDI dan SDI ke HDMI saku baja terpercaya membuang cacat frame listrik dan perlindungan benturan sinyal silang di belakang monitor sutradara,"HDMI In Out, SDI In Out Dua Arah Pasif"
569,Inovativ DigiPlate Pro,Inovativ,Standar Dudukan Laptop Stabil (Tripod Mount),,🔧,0,Pelat Baki Komputer Baja|Other; Lubang 3|Other; 8 Inch|Other,,Meja nampan sasis keras penyekrup laptop mesin perekam (MacBook Pro) dan brankas hardisk terikat kuat bisa digantung vertikal atau horisontal pada tiang kaki penyangga payung lampu,"Pelat Baki Komputer Baja, Lubang 3, 8 Inch"
570,Hawk-Woods VL-B1,Hawk-Woods,Sabuk Pembawa Baterai Kamera Berjalan,,🔧,0,Sabuk Pinggang|Other; Piringan V-Mount Baterai|Power,,Ikat pinggang taktis kulit memindahkan beban sekian kilo baterai daya dari pundak bahu kameramen turun ke pinggul menyalurkan pasokan listrik ke atas via satu kabel ringan,"Sabuk Pinggang, Piringan V-Mount Baterai"
571,Vornado 660,Vornado,Kipas Blower Udara Dingin (Pendingin Host),,🔧,0,Kipas Sirkulasi Udara AC|LAN; Kabel Colokan AC|Power,,Meriam angin puting beliung (sunyi senyap) penendang hawa sejuk AC terpusat dari ruang tamu ke sudut studio kedap suara mendinginkan keringat artis tanpa berisik dengung di mic,"Kipas Sirkulasi Udara AC, Kabel Colokan AC"
572,Neutrik NA2-IO-DLINE,Neutrik,Konverter Jaringan Audio Ke Analog,,🔧,0,RJ45 Dante|LAN; 2x XLR In 2x XLR Out Karet Tahan Air|Audio,,Batu penghubung jembatan ajaib menterjemahkan kembali data internet Dante menjadi colokan analog mic fisik murni ditaruh bebas diguyur hujan panggung tanpa korslet,"RJ45 Dante, 2x XLR In 2x XLR Out Karet Tahan Air"
573,SmallRig 15mm LWS Universal Lens Support,SmallRig,Alat Penyokong Rel Kamera Besar,,🔧,0,Bantalan Rel Karet|LAN; Y-Bracket Naik Turun|Power,,Garpu penjepit tiang perancah menopang perut beban lensa zoom moncong gajah meredakan stres beban tarikan pada drat cincin lensa bodi mirrorless ringan yang rentan retak,"Bantalan Rel Karet, Y-Bracket Naik Turun"
574,Pelican 0915 SD Memory Card Case,Pelican,Boks Penyimpan Kartu Memori Tahan Banting,,🔧,0,Plastik Polikarbonat Keras|LAN; Sisipan Busa Karet|LAN,,Koper saku anti air anti hancur penyimpan harta karun berharga (12 memori SD Card dan MicroSD) berlapis bantalan kedap mencegah air merendam jerih payah hasil rekaman live seharian,"Plastik Polikarbonat Keras, Sisipan Busa Karet"
575,Neutrik etherCON NE8MX,Neutrik,Pengunci Sambungan Kabel Cepat (Quick Lock),,🔧,0,Cangkang Baju Logam Pengunci|Other; RJ45 Internal|LAN,,Baju zirah baja pemakai konektor internet LAN murahan klik plastik menjadi sekrup pengunci putar (kabel tak akan lepas meski terseret langkah penonton lompat-lompat panggung),"Cangkang Baju Logam Pengunci, RJ45 Internal"
576,MA Lighting grandMA3 onPC command wing,MA,Konsol Pengendali Cahaya (Lighting),,🔧,0,USB|USB; 2x DMX Out|Other; MIDI|Other,,Papan kontrol lampu paling standar di industri konser dunia mengubah komputer biasa menjadi mesin master pengendali ribuan lampu laser panggung,"USB, 2x DMX Out, MIDI"
577,Focusrite RedNet D16R,Focusrite,Antarmuka Audio Jaringan (Audio Network),,🔧,0,Dante (RJ45)|LAN; AES3|Audio; Word Clock|Other,,Mesin konverter kasta tertinggi pembawa 16 jalur audio digital format AES3 langsung ke dalam jaringan internet Dante tanpa konversi analog yang menurunkan kualitas,"Dante (RJ45), AES3, Word Clock"
578,Autocue Contour ShuttleXpress,Autocue,Pengendali Teleprompter (Prompter Controller),,🔧,0,USB-A|USB,,Roda putar pengatur kecepatan teks berjalan pada layar teleprompter yang dikendalikan oleh kaki atau tangan operator agar pas dengan tempo bicara narasumber,USB-A
579,Yellow Jacket 5-Channel Cable Protector,Yellow,Pelindung Kabel Jalan Raya (Cable Ramp),,🔧,0,Karet Polyurethane Tugas Berat|LAN,,Polisi tidur raksasa kuning hitam dengan 5 parit pelindung kabel tebal yang aman dilindas truk logistik seberat 20 ton tanpa menghancurkan kabel fiber optik di dalamnya,Karet Polyurethane Tugas Berat
580,PTZOptics 30X-NDI,PTZOptics,Kamera Robotik NDI (PTZ),,🔧,0,NDI (RJ45)|LAN; 3G-SDI|SDI; HDMI|HDMI,,Kamera pan-tilt-zoom bersenjata lensa super panjang (30x optikal zoom) penembak wajah host dari jarak 20 meter di belakang ruangan langsung jadi format NDI internet,"NDI (RJ45), 3G-SDI, HDMI"
581,AJA Ki Pro Ultra 12G,AJA,Sistem Perekam Cadangan (Backup Recorder),,🔧,0,12G-SDI|SDI; HDMI 2.0|HDMI; 2x Pak Media|Other,,Mesin perekam format ProRes murni pembaca sinyal 4K yang terus menyala sebagai ban serep jika komputer streaming utama tiba-tiba meledak atau hang,"12G-SDI, HDMI 2.0, 2x Pak Media"
582,Matthews 40-inch C-Stand with Turtle Base,Matthews,Penahan Layar Kaca Reflektor,,🔧,0,Tiang Baja|Other; Kaki Kura-kura Lepas Pasang|Other,,Tiang penyangga utama segala kebutuhan panggung yang kakinya bisa dicopot rata dengan tanah agar tidak tersorot masuk ke dalam bingkai kamera,"Tiang Baja, Kaki Kura-kura Lepas Pasang"
583,Mogami Gold Studio XLR,Mogami,Kabel Audio Penghubung Murni,,🔧,0,XLR Male ke Female|Audio; Tembaga Bebas Oksigen|Other,,Tali penghubung sinyal suara tanpa kompromi penetralisir sinyal radio liar penjamin suara mic kondensor terdengar sehangat aslinya tanpa dengung,"XLR Male ke Female, Tembaga Bebas Oksigen"
584,Godox VL300 LED Video Light,Godox,Lampu Kunci Area Wajah (Key Light),,🔧,0,Bowens Mount|Other; V-Mount Power|LAN,,Lampu sorot matahari bertenaga 300 watt pencuci wajah talent yang mesin kipas pendinginnya dipisah dari kepala lampu agar tak masuk ke mic,"Bowens Mount, V-Mount Power"
585,Teradek Spark 4K,Teradek,Pengubah Sinyal HDMI Nirkabel,,🔧,0,HDMI In Out|HDMI; Antena Internal|Other,,Transmiter gambar ringan tanpa kabel pelempar sinyal presentasi 4K dari laptop narasumber di tengah panggung menuju meja operator sejauh 150 meter,"HDMI In Out, Antena Internal"
586,APC NetShelter CX 18U,APC,Rak Server Kedap Suara,,🔧,0,Kotak Kayu Akustik|Other; Kipas Blower Diam|LAN,,Lemari rak berwujud lemari kayu elegan peredam jeritan kipas server bising sehingga mesin encoder bisa ditaruh di dalam ruang siaran tanpa mengganggu audio,"Kotak Kayu Akustik, Kipas Blower Diam"
587,Blackmagic ATEM Talkback Converter 4K,Blackmagic,Sistem Umpan Balik Video (Video Return),,🔧,0,BNC|Other; Fiber Optik|Other; Headset Jack|Audio,,Mesin penyambung kabel fiber mengirim gambar final program dan suara sutradara menempuh jarak puluhan kilometer ke earphone kameramen lapangan,"BNC, Fiber Optik, Headset Jack"
588,Rupert Neve Designs RNDI,Rupert,Kotak Penyesuai Impedansi Gitar,,🔧,0,"1|Other; 4"" Input|Other; XLR Out|Audio; 48V Phantom|Audio",,Kotak ajaib penyulap sinyal gitar bass yang loyo menjadi sinyal gemuk berkarakter analog pita lawas sebelum dicolok masuk ke mixer audio digital,"1, 4"" Input, XLR Out, 48V Phantom"
589,Flanders Scientific DM240,Flanders,Layar Pemantau Warna Presisi,,🔧,0,3G-SDI|SDI; DVI|HDMI; Layar LCD 24 Inci|Other,,Monitor kasta tertinggi rujukan editor pewarnaan film (Colorist) pembawa kepastian absolut bahwa warna merah darah yang diedit tidak akan meleset di bioskop,"3G-SDI, DVI, Layar LCD 24 Inci"
590,K-Tek Avalon KE-89CC,K-Tek,Tiang Ekstensi Mikrofon Ringan,,🔧,0,Alat Pancing Serat Karbon|Other; Kabel XLR Internal|Audio,,Tongkat boom pole berbahan serat karbon super enteng pembebas pegal bahu asisten penata suara yang harus mengangkat mic tinggi-tinggi berjam-jam,"Alat Pancing Serat Karbon, Kabel XLR Internal"
591,vMix Replay Controller,vMix,Pemutar Ulang Aksi Cepat (Slow-mo Replay),,🔧,0,USB-A|USB; T-Bar Tuas Fisik|Other,,Papan keyboard khusus berfitur tuas T-Bar pengendali kecepatan lambat (slow motion) pengulang adegan gol di pertandingan e-sports secara instan,"USB-A, T-Bar Tuas Fisik"
592,Cloudlifter CL-1,Cloudlifter,Penguat Sinyal Mikrofon Dinamis,,🔧,0,XLR In Out|Audio; Bertenaga Phantom 48V|Audio,,Kapsul steroid penambah 25 desibel volume bersih secara gaib pada mikrofon Shure SM7B yang terkenal butuh tarikan tenaga raksasa dari soundcard,"XLR In Out, Bertenaga Phantom 48V"
593,NiSi True Color CPL,NiSi,Filter Penghilang Pantulan Silau,,🔧,0,Kaca Bulat|Power; Ulir Putar|Other,,Kacamata hitam berputar penyingkir efek bayangan putih di kaca jendela mobil saat host melakukan vlog liputan otomotif di siang hari,"Kaca Bulat, Ulir Putar"
594,Manfrotto 035 Super Clamp,Manfrotto,Jepit Pipa Serbaguna (Super Clamp),,🔧,0,"Rahang Besi|Other; Sekrup 1|Other; 4"" dan 5|Other; 8""|Other",,Gigitan macan penjepit tiang atau pinggiran meja kayu menahan kamera atau lampu kecil menggantung aman di udara tanpa butuh tiang kaki tiga (tripod),"Rahang Besi, Sekrup 1, 4"" dan 5, 8"""
595,Netgear GS308 Gigabit Switch,Netgear,Pemisah Internet ke Beberapa PC,,🔧,0,8x RJ45 Gigabit Ethernet|LAN,,Terminal percabangan jalan tol internet memastikan 5 komputer di meja caster esport mendapatkan aliran kecepatan penuh tanpa berebut bandwidth,8x RJ45 Gigabit Ethernet
596,Aputure LS 60d,Aputure,Lampu Sorot Latar Belakang (Backlight),,🔧,0,Lensa Fresnel|Other; V-Mount|Power,,Lampu fokus penembak cahaya setajam laser pembentuk garis rambut menyala (hair light) memisahkan tubuh host agar tidak menyatu gelap dengan latar belakang,"Lensa Fresnel, V-Mount"
597,Elgato 4K60 Pro MK.2,Elgato,Penangkap Video PC Internal,,🔧,0,PCIe x4|Other; HDMI In Out|HDMI,,Kartu sirkuit penelan gambar tertancap permanen di perut komputer khusus menelan gambar konsol PS5 kualitas 4K 60fps tanpa jeda sedetikpun di layar tv gamer,"PCIe x4, HDMI In Out"
598,Syrp Genie II Linear,Syrp,Stabilisator Lensa Kamera Geser,,🔧,0,Tali Tarik Motorized|Other; Bluetooth|Wireless,,Mesin penarik di atas rel besi menyeret tripod kamera perlahan-lahan menghasilkan video timelapse pergantian siang ke malam hari yang bergerak sinematik,"Tali Tarik Motorized, Bluetooth"
599,Shure UA874 Active Directional Antenna,Shure,Modul Antena Radio Penerima Ekstra,,🔧,0,Konektor BNC|Other; Sakelar Gain Amplifier|Other,,Antena kipas raksasa dengan mesin penguat sinyal internal penyedot gelombang mikrofon artis di lapangan tenis yang sangat jauh tanpa putus,"Konektor BNC, Sakelar Gain Amplifier"
600,Elgato Wave Panels,Elgato,Busa Peredam Pantulan Suara Meja,,🔧,0,Busa Heksagonal Ringan|Other,,Peredam gema dinding berdesain segi enam modern pengunci suara pantulan agar suara teriakan gamer tidak memantul seperti di dalam kamar mandi,Busa Heksagonal Ringan
601,Decimator DMON-QUAD,Decimator,Pemecah Arus Video Menjadi Empat (Quad Split),,🔧,0,4x SDI In|SDI; HDMI & SDI Out|HDMI,,Mesin pencampur 4 input kamera menjadi 1 layar mozaik pengawas dikirim ke monitor TV raksasa agar produser bisa mengawasi seluruh kamera sekilas,"4x SDI In, HDMI & SDI Out"
602,Kopul Cable Tie Roll,Kopul,Pembungkus Kabel Kain Serat,,🔧,0,Kain Velcro Gulungan|Other,,Lakban kain pengikat kelompok kabel sisa yang kepanjangan agar tidak terurai seperti mie instan di lantai yang memicu kru tersandung,Kain Velcro Gulungan
603,Datavideo TP-300 Teleprompter,Datavideo,Layar Penyangga Teks Berjalan,,🔧,0,Dudukan Tablet|Other; Kaca Pemisah Sinar|Power,,Rumah kaca pemantul teks dari iPad untuk lensa tablet; sang pendakwah bisa berceramah menatap tepat mata penonton padahal dia sedang membaca,"Dudukan Tablet, Kaca Pemisah Sinar"
604,Matrox Monarch HD,Matrox,Perangkat Keras Enkoder Streaming,,🔧,0,HDMI In|HDMI; RJ45|LAN; USB Drive|USB,,Mesin pencetak siaran yang bekerja mandiri (tanpa butuh PC Windows) menembak video ke YouTube sekaligus merekam cadangan ke flashdisk secara bersamaan,"HDMI In, RJ45, USB Drive"
605,Think Tank Hydrophobia,Think,Penutup Hujan Kamera Bening,,🔧,0,Kain Nilon Kedap Air|Other; Lengan Kaca Mika|Power,,Jas hujan ponco transparan pelindung kamera dan lensa zoom belasan juta dari guyuran badai hujan di pinggir lapangan bola luar ruangan,"Kain Nilon Kedap Air, Lengan Kaca Mika"
606,Mackie Big Knob Passive,Mackie,Pengontrol Volume Audio Desktop,/images_real/real_0289.png,🔧,0,2x TRS In|Audio; 2x TRS Out|Audio; Kenop Putar Besar|Other,,Roda volume mekanik raksasa pemotong suara instan di atas meja editor penyelamat gendang telinga jika tiba-tiba ada suara ledakan dari software edit video,"2x TRS In, 2x TRS Out, Kenop Putar Besar"
607,Avenger A5034 Roller Stand 34,Avenger,Standar Lampu Beroda,,🔧,0,Tiang Baja|Other; 3 Roda Berkunci|Other,,Kaki lampu kuat yang dilengkapi roda pendorong memudahkan kru memindahkan cahaya matahari buatan seberat 20 kilogram hanya dengan satu dorongan jari,"Tiang Baja, 3 Roda Berkunci"
608,Ubiquiti airMAX LiteBeam 5AC,Ubiquiti,Antena Pemancar Internet Jauh,,🔧,0,Piringan Parabola|Other; Port PoE LAN|LAN,,Penembak sinyal internet nirkabel sejauh 15 kilometer menyeberangi lembah gunung mentransfer data siaran langsung dari posko ke titik relay tanpa tarik kabel,"Piringan Parabola, Port PoE LAN"
609,Aputure Spotlight Mini Zoom,Aputure,Modifikasi Bentuk Cahaya (Snoot),,🔧,0,Lensa Proyeksi Optik|Other; Dudukan Lensa LS 60|Other,,Teropong lensa penyempit cahaya mengubah lampu bulat menjadi kotak atau proyektor pencetak siluet bayangan daun jendela palsu ke tembok polos,"Lensa Proyeksi Optik, Dudukan Lensa LS 60"
610,Tripp Lite Heavy-Duty Power Cord,Tripp,Kabel Daya Komputer Kelas Berat,,🔧,0,C13 ke NEMA 5-15P|Other; Kawat 14 AWG|Other,,Tali colokan listrik tebal penyuplai daya ke komputer server anti leleh walau disiksa suhu panas mesin rendering yang bekerja maksimal berhari-hari,"C13 ke NEMA 5-15P, Kawat 14 AWG"
611,Tentacle Sync E mkII,Tentacle,Modul Sinkronisasi Waktu Mungil,,🔧,0,Kabel 3.5mm|Audio; Bluetooth App|Wireless,,Kotak kuning sebesar kotak korek pencetak stempel waktu di jalur audio kamera mempermudah penyatuan gambar dari 3 kamera mirrorless yang berbeda secara instan di Adobe Premiere,"Kabel 3.5mm, Bluetooth App"
612,TC-Helicon VoiceLive Play,TC-Helicon,Kotak Efek Suara Langsung (Vocal Processor),/images_real/real_0600.jpg,🔧,0,XLR In Out|Audio; Efek Harmonik|Other,,Pedal injak penyanyi pemberi efek robot (vocoder) atau suara gema stadion yang diaktifkan penyanyi sendiri pakai kaki di tengah panggung tanpa bantuan operator mixer,"XLR In Out, Efek Harmonik"
613,Peak Design Everyday Backpack 30L,Peak,Tas Ransel Peralatan Rapi,,🔧,0,Kain Kanvas Nilon|Other; Pembagi Origami Fleksibel|Other,,Tas punggung penyimpan drone laptop dan 2 kamera dengan partisi bisa dilipat lipat pelindung alat dari benturan saat vlogger berjalan menembus hutan,"Kain Kanvas Nilon, Pembagi Origami Fleksibel"
614,BrightSign HD224,BrightSign,Pemutar Video Siaran Digital (Digital Signage),,🔧,0,HDMI Out|HDMI; Slot SD Card|Other; LAN|LAN,,Otak pemutar video looping abadi di layar LED lobi perusahaan yang bisa diperbarui videonya dari jarak jauh via internet pusat tanpa harus colok flashdisk manual,"HDMI Out, Slot SD Card, LAN"
615,Universal Audio Apollo Twin X,Universal,Antarmuka Rekaman Suara Resolusi Tinggi,,🔧,0,Thunderbolt 3|USB; 2x Unison Mic Preamp|Audio,,Mesin soundcard pintar yang memiliki prosesor internal khusus mengolah efek suara studio mahal tanpa membebani otak CPU laptop penyiar podcast,"Thunderbolt 3, 2x Unison Mic Preamp"
616,NP-F970 Sony InfoLithium,NP-F970,Baterai Jepit Monitor Kecil,,🔧,0,Kontak Pin Tembaga|Other; Indikator Sisa Daya|LAN,,Baterai balok klasik penyala lampu LED kecil dan layar sutradara andalan sejuta umat yang kapasitas bertahannya bisa diprediksi akurat hingga hitungan menit,"Kontak Pin Tembaga, Indikator Sisa Daya"
617,Metabones EF to E Mount T Smart Adapter,Metabones,Adaptor Pemasang Lensa Beda Merek,,🔧,0,Dudukan Lensa Canon ke Sony|Other; Kontak Elektronik|Other,,Jembatan elektronik pemaksa lensa Canon lawas agar fungsi fokus otomatisnya (autofocus) tetap bekerja mulus saat dipasang di bodi kamera Sony terbaru,"Dudukan Lensa Canon ke Sony, Kontak Elektronik"
618,Apple Thunderbolt 4 Pro Cable,Apple,Kabel Data Hardisk Cepat,/images_real/real_0605.jpg,🔧,0,USB-C|USB; Kecepatan Transfer 40Gbps|Other,,Tali tembaga premium mentransfer file video 8K sebesar 500GB dari hardisk ke laptop dalam waktu kurang dari 5 menit tanpa putus di tengah jalan,"USB-C, Kecepatan Transfer 40Gbps"
619,American Recorder OAL-100,American,Lampu Indikator Siaran (On Air Light),/images_real/real_0606.jpg,🔧,0,Lampu Merah Akrilik|Other; Adaptor Daya Dinding|LAN,,Lampu peringatan merah klasik menyala di atas pintu studio podcast mencegah OB masuk menyapu ruangan saat siaran sedang berlangsung di internet,"Lampu Merah Akrilik, Adaptor Daya Dinding"
620,3M Privacy Filter,3M,Penutup Layar Laptop Kerahasiaan,,🔧,0,Plastik Polarizer|LAN; Perekat Tepi Layar|Other,,Kaca film penolak pandangan samping melindungi naskah presentasi rahasia CEO di laptop agar tidak bisa dicontek atau difoto oleh orang yang duduk di sebelahnya,"Plastik Polarizer, Perekat Tepi Layar"
621,Datacolor Spyder LensCal,Datacolor,Alat Kalibrasi Ketajaman Fokus,,🔧,0,"Papan Penggaris Miring|Other; Dasar Tripod 1|LAN; 4""|Other",,Papan target tembak pencari kelemahan cacat fokus lensa lama yang sering meleset (front focus / back focus) agar kembali setajam silet saat bukaan f/1.4,"Papan Penggaris Miring, Dasar Tripod 1, 4"""
622,SanDisk Extreme Pro CFast 2.0,SanDisk,Kartu Memori Video Ekstrem,,🔧,0,Pin Konektor Internal CFast|Other; Kecepatan Tulis 450MB|Other; s|Other,,Kartu penyimpanan data mentah penyerap video resolusi 4K tanpa kompresi murni dari kamera bioskop ARRI atau Blackmagic tanpa resiko frame hilang,"Pin Konektor Internal CFast, Kecepatan Tulis 450MB, s"
623,Plat Kaki Hi-Hat 100mm Bowl,Plat,Tripod Kamera Sudut Super Rendah,,🔧,0,Papan Kayu Octagon|Other; Mangkuk Besi Dudukan Kepala Kamera|Other,,Alas tatakan besi berkaki pendek pemegang kamera di atas tanah menyentuh rumput menangkap adegan sudut pandang semut (frog eye level),"Papan Kayu Octagon, Mangkuk Besi Dudukan Kepala Kamera"
624,Waves X-Noise VST,Waves,Penghilang Desis Audio Perangkat Lunak,,🔧,0,Software Plugin|Power; Format VST|Other; AU|Other,,Program pencuci suara ahli bedah frekuensi penyedot suara bising gema dengung AC ruangan atau gesekan baju terekam tanpa merusak keaslian suara penyiar,"Software Plugin, Format VST, AU"
625,Nanuk 935 Wheeled Case,Nanuk,Kotak Pelindung Lensa (Hard Case),,🔧,0,Resin Tahan Benturan|Other; Roda|Other; Tuas Tarik Ganda|Other,,Koper tempur kedap udara berkatup pelepas tekanan anti hancur pelindung jiwa lensa puluhan juta saat berdesakan di dalam bagasi pesawat komersil,"Resin Tahan Benturan, Roda, Tuas Tarik Ganda"
626,DSAN Limitimer PRO-2000,DSAN,Sakelar Pengubah Presenter Ganda,,🔧,0,Layar Timer Digital|Other; Lampu Lalu Lintas Mini|Other,,Lampu rambu merah kuning hijau pemberi peringatan sisa waktu presentasi narasumber agar tidak bicara ngelantur kepanjangan dan merusak susunan jadwal acara (rundown),"Layar Timer Digital, Lampu Lalu Lintas Mini"
627,Hollyland Cosmo C1,Hollyland,Modul Penerima Sinyal Layar Sutradara,,🔧,0,SDI In Out|SDI; HDMI|HDMI; Nirkabel UVC USB-C|Wireless,,Transmiter gambar tanpa jeda sama sekali (zero latency) dilengkapi colokan Type-C agar gambar langsung bisa dibaca komputer sutradara sebagai webcam siap streaming,"SDI In Out, HDMI, Nirkabel UVC USB-C"
628,IKEA Signum Cable Management,IKEA,Penahan Kabel Bawah Meja (Tray),,🔧,0,Keranjang Kawat Besi Gantung|Other,,Troli jaring penggantung colokan listrik raksasa dan lilitan kabel di kolong meja editor menyembunyikan kekacauan arus agar studio terlihat bersih minimalis,Keranjang Kawat Besi Gantung
629,Blind Spot Power Junkie,Blind,Konverter Daya Baterai USB-C,,🔧,0,Slot Baterai NP-F|Power; 2x USB-A Out|USB; DC Out|Power,,Kotak ajaib penyulap baterai kamera balok NP-F menjadi powerbank raksasa yang bisa mengisi daya handphone Host atau kamera mirrorless langsung via kabel USB,"Slot Baterai NP-F, 2x USB-A Out, DC Out"
630,Calibrite ColorChecker Passport Video,Calibrite,Alat Pembaca Kode Warna (Color Checker),,🔧,0,Buku Lipat Plastik|LAN; Kepingan Warna Akurat|Other,,Papan warna-warni rujukan sutradara ditunjukkan ke kamera awal syuting demi menyamakan standar warna kulit (skin tone) dari tiga kamera merek berbeda di ruang edit,"Buku Lipat Plastik, Kepingan Warna Akurat"
631,Wiral LITE Cable Cam,Wiral,Sistem Kerek Kamera Langit (Cable Cam),/images_real/real_0618.jpg,🔧,0,Tali Tali Tarikan Motorized|Other; Remot Kontrol Jarak Jauh|Other,,Motor roda kabel terbang pembawa kamera aksi meluncur lurus menyusuri tali di atas kerumunan penonton hutan memberikan efek kamera drone di tempat terbang drone dilarang,"Tali Tali Tarikan Motorized, Remot Kontrol Jarak Jauh"
632,Lifetime 4-Foot Commercial Folding Table,Lifetime,Meja Produksi Lipat Kasar,/images_real/real_0619.jpg,🔧,0,Plastik HDPE|Other; Rangka Kaki Baja|Other,,Meja plastik legendaris andalan stasiun TV lapangan yang anti patah walau ditumpuki tiga monitor CRT mesin switcher dan beban orang duduk menyandar,"Plastik HDPE, Rangka Kaki Baja"
633,K-Tek Stingray Mixer Bag,K-Tek,Sabuk Pembawa Perangkat Audio (Audio Bag),,🔧,0,Bahan Tahan Cuaca|Power; Partisi Busa Cetak|Other,,Tas peluk perut khusus penata suara menyimpan mixer kecil dan baterai di dada dilengkapi ritsleting bolong samping tempat kabel XLR keluar teratur tanpa menekuk,"Bahan Tahan Cuaca, Partisi Busa Cetak"
634,"Kabel Ekstensi TRS 1/4"" Mogami",Ekstensi,Kabel Ekstensi Audio Pemantau (Headphone),,🔧,0,Konektor Laki ke Perempuan|Other; Inti Tembaga Tebal|Other,,Tali lemas namun kokoh pemanjang kabel telinga drumer panggung agar leluasa bergerak memukul simbal jauh 5 meter dari kotak pembagi audio tanpa resiko kabel putus tertarik,"Konektor Laki ke Perempuan, Inti Tembaga Tebal"
635,Zacuto VCT Pro Baseplate,Zacuto,Penjepit Rel Bawah Kamera (Baseplate),,🔧,0,Bantalan Pundak Busa|LAN; Rel Pipa 15mm|LAN; Plat VCT Geser|Other,,Baju zirah pelat alas kamera mengubah DSLR ringan menjadi kamera panggul stasiun TV (bisa ditaruh empuk di bahu atau dikunci ke tripod raksasa dalam 1 detik),"Bantalan Pundak Busa, Rel Pipa 15mm, Plat VCT Geser"
636,Wooden Camera Director's Monitor Cage,Wooden,Penghalang Sinar Monitor Sutradara,,🔧,0,Pegangan Kulit Kayu|Other; Tali Leher|Other; Plat Layar|Other,,Kerangka tameng besi penyatu layar baterai dan penerima sinyal dilengkapi tali leher gantungan agar sutradara leluasa berjalan mandiri menonton hasil rekaman tanpa lelah memegang,"Pegangan Kulit Kayu, Tali Leher, Plat Layar"
637,Lee Filters 216 White Diffusion,Lee,Gel Penyebar Cahaya Lampu (Diffusion Gel),,🔧,0,Lembaran Kertas Plastik Buram|Other,,Plastik kertas mentega disematkan di depan lampu menahan sengatan cahaya panas LED tajam menjadikannya selembut sinar matahari sore yang masuk lewat jendela kamar,Lembaran Kertas Plastik Buram
638,VIVO Dual Monitor Desk Mount Stand,VIVO,Dudukan Layar Ganda Penyiaran Vertikal,,🔧,0,Tiang Besi|Other; Engsel Putar VESA|Other,,Tiang penusuk langit penyangga layar atas bawah penghemat ruang meja editor (layar bawah menaruh timeline potong video layar atas untuk melihat hasil jadi warna gambar),"Tiang Besi, Engsel Putar VESA"
639,Chauvet Nimbus Dry Ice Machine,Chauvet,Mesin Asap Kering Panggung (Dry Ice Fog),,🔧,0,Keranjang Air Panas Elektrik|Other; Tuas Penekan Es Kering|Other,,Pemasak air panas pembuat asap kabut es tebal yang tidak terbang naik tapi merayap menempel menutupi lantai panggung bak hamparan awan surga,"Keranjang Air Panas Elektrik, Tuas Penekan Es Kering"
640,DJI Force Pro,DJI,Pengendali Kamera Presisi Udara (Gimbal Remote),/images_real/real_0627.jpg,🔧,0,Sensor Gyro Internal|Other; Roda Pengendali|Other; RF Nirkabel|Wireless,,Batang besi peniru gerak; kemana pun sutradara memiringkan alat ini di tangannya maka kamera drone atau gimbal yang berjarak 3 kilometer akan otomatis ikut menunduk seketika,"Sensor Gyro Internal, Roda Pengendali, RF Nirkabel"
641,Shure ULXD4Q Quad Channel Digital Receiver,Shure,Penerima Audio Nirkabel Rak (Receiver Rack),,🔧,0,Rak 1U|Other; 4x XLR Out|Audio; Port LAN Dante|LAN,,Mesin penangkap radio kelas dewa menerima empat mikrofon sekaligus dalam satu kotak besi anti guncangan mengkonversinya langsung jadi sinyal internet audio Dante bebas latensi,"Rak 1U, 4x XLR Out, Port LAN Dante"
642,Rycote Cyclone Windshield,Rycote,Isolator Anti Getar Mikrofon Lapangan,,🔧,0,Keranjang Plastik Berongga|Other; Kain Bulu Luar (Deadcat)|Power,,Kapsul peluru pelindung angin meredam tiupan badai pantai tidak masuk menggemuruh di dalam mic shotgun (memastikan suara debur ombak dan dialog terekam bersih kristal),"Keranjang Plastik Berongga, Kain Bulu Luar (Deadcat)"
643,Sachtler Video 25 Plus Tripod,Sachtler,Tiang Kaki Tiga Kamera Super Berat,,🔧,0,Serat Karbon Tiga Tingkat|Other; Kepala Cairan Panci (Fluid Head) 100mm|Other,,Tripod gajah menahan beban kamera siaran TV 25 kilogram memastikan pergerakan geser kiri kanan (panning) mengikuti mobil balap berjalan semulus minyak mentega,"Serat Karbon Tiga Tingkat, Kepala Cairan Panci (Fluid Head) 100mm"
644,FFmpeg Command Line Tool,FFmpeg,Pengubah Format Video Perangkat Lunak,,🔧,0,Software Codec Open Source|Other; Skrip Baris Perintah|LAN,,Mesin ajaib (tanpa tampilan antarmuka) andalan IT membakar ribuan file video 4K dirubah menjadi ringan format mp4 untuk HP hanya lewat ketikan kode perintah,"Software Codec Open Source, Skrip Baris Perintah"
